DATE,DEXINUS
2019-05-09,70.21
2019-05-10,70.02
2019-05-13,70.62
2019-05-14,70.3
2019-05-15,70.22
2019-05-16,70.08
2019-05-17,70.28
2019-05-20,69.59
2019-05-21,69.61
2019-05-22,69.71
2019-05-23,69.66
2019-05-24,69.37
2019-05-27,.
2019-05-28,69.56
2019-05-29,69.8
2019-05-30,69.81
2019-05-31,69.63
2019-06-03,69.15
2019-06-04,69.28
2019-06-05,69.41
2019-06-06,69.21
2019-06-07,69.32
2019-06-10,69.49
2019-06-11,69.42
2019-06-12,69.35
2019-06-13,69.53
2019-06-14,69.81
2019-06-17,69.83
2019-06-18,69.6
2019-06-19,69.64
2019-06-20,69.44
2019-06-21,69.59
2019-06-24,69.32
2019-06-25,69.26
2019-06-26,69.18
2019-06-27,69.01
2019-06-28,68.92
2019-07-01,68.87
2019-07-02,68.87
2019-07-03,68.79
2019-07-04,.
2019-07-05,68.48
2019-07-08,68.55
2019-07-09,68.54
2019-07-10,68.4
2019-07-11,68.4
2019-07-12,68.57
2019-07-15,68.52
2019-07-16,68.66
2019-07-17,68.84
2019-07-18,68.85
2019-07-19,68.82
2019-07-22,68.89
2019-07-23,68.99
2019-07-24,68.94
2019-07-25,69.03
2019-07-26,68.89
2019-07-29,68.73
2019-07-30,68.82
2019-07-31,68.81
2019-08-01,69.0
2019-08-02,69.65
2019-08-05,70.8
2019-08-06,70.9
2019-08-07,71.18
2019-08-08,70.62
2019-08-09,70.91
2019-08-12,71.27
2019-08-13,71.41
2019-08-14,71.27
2019-08-15,71.79
2019-08-16,71.15
2019-08-19,71.44
2019-08-20,71.54
2019-08-21,71.43
2019-08-22,71.9
2019-08-23,71.49
2019-08-26,72.02
2019-08-27,71.52
2019-08-28,71.75
2019-08-29,71.67
2019-08-30,71.45
2019-09-02,.
2019-09-03,72.2
2019-09-04,72.11
2019-09-05,71.84
2019-09-06,71.68
2019-09-09,71.66
2019-09-10,71.89
2019-09-11,71.62
2019-09-12,70.91
2019-09-13,71.0
2019-09-16,71.53
2019-09-17,71.47
2019-09-18,71.16
2019-09-19,71.31
2019-09-20,71.05
2019-09-23,70.79
2019-09-24,70.94
2019-09-25,71.0
2019-09-26,70.93
2019-09-27,70.49
2019-09-30,70.64
2019-10-01,71.11
2019-10-02,71.17
2019-10-03,71.03
2019-10-04,70.86
2019-10-07,70.97
2019-10-08,71.21
2019-10-09,71.09
2019-10-10,70.98
2019-10-11,70.91
2019-10-14,.
2019-10-15,71.48
2019-10-16,71.37
2019-10-17,71.09
2019-10-18,71.07
2019-10-21,70.9
2019-10-22,70.81
2019-10-23,70.81
2019-10-24,71.01
